No.,カードの名前,カード名かな,HP,攻撃力,防御力,特攻,特防,素早さ,技１名称,技１説明,技２区分,技２区分コード,技２名称,技２説明,技２区分効果,特殊スキル区分,特殊スキル区分コード,特殊スキル名称,特殊スキル説明,特殊スキル効果,カード種別,京の伝統野菜,京の伝統野菜に準じる野菜,新京野菜,京のブランド産品,カード用写真／画像提供,来歴,特徴,栽培,旬の始まり,旬の終わり
K011,壬生菜,みぶな,70,39,36,66,29,30,ミブナ張り手,かわいいけど結構痛い！,味方にバフ,MB,ミブナの舞い,みんなで舞い踊れ！,味方の攻撃力アップ！,パッシブ,PS,壬生浪士,新選組ゆかりの地で修行！,次の1ターンの間、味方一体の行動回数を2回にする(パッシブスキルも含む),ゴールド赤,〇,－,－,〇,公益社団法人京のふるさと産品協会,1800年代にみず菜の一変種が自然交雑によって生まれ、壬生地区に多く栽培されたものとされています。みず菜（京菜）との区別がはっきりした頃は不明ですが、文化元年（1804）の文献に「壬生に産する壬生菜」という明らかな記載があります。,株状によく分けつし（一株で数十本）、葉数は数百枚になります。葉柄は細く淡緑色ですが葉先は濃緑色で、葉に欠刻が無く、円くスプーン状になります。最近は食生活の変化に伴って、手軽に食べられる小束のものが多く出回るようになりました。,市内全域で振売、直売用を含め、広く栽培されています。,11月上旬,3月上旬
K012,くわい,くわい,90,45,45,75,5,10,くわいストライク,先っちょの鋭い部分で串刺し！,味方にバフ,MB,御土居（おどい）,秀吉が作った京の防御壁！,味方の防御力アップ！,アクティブ,AS,クワイエット,静まれ静まれ！,敵一体行動2回休み,ゴールド赤,〇,－,－,〇,公益社団法人京のふるさと産品協会,"天正19年（1591）に豊臣秀吉が京の都を外敵と災害から守るため周囲に御土居を築きました。そのためにいたるところに低地を生じ、肥沃な低湿地で藍の栽培を行い,その裏作として栽培されたのが始まりであるとされています。",他産地で栽培されている品種と異にするものではありませんが、永年京都において育成淘汰し、固定した優良品種であると言われています。,昭和の初期には埼玉県についで京都は第二の生産地であったと言われていますが、栽培面積は激減し、現在、南区上鳥羽、伏見区竹田で栽培されています。,11月中旬,12月下旬
K013,えびいも,えびいも,100,85,32,28,17,8,ジャンピングアタック,エビのように飛び跳ねよ！,敵にデバフ,EB,縞模様,シマシマで目くらまし！,敵の攻撃力ダウン！,パッシブ,PS,ＡＢＩＭＯ,イングリッシュで混乱させろ！,敵一体を選択する。選択した敵の次の行動を技1にしてランダムな敵一体(自分自身を除く)を攻撃する。,ゴールド赤,〇,－,－,〇,公益社団法人京のふるさと産品協会,安永年間（1772～1781）に当時の青蓮院宮が九州の長崎から芋の種を持ち帰られ、宮家に仕えていた御料菊や野菜を栽培する御用を承っていたものが栽培を託されました。その後大きく良質のものができたので形状から「えびいも」と名付けられ、上鳥羽、九条で栽培されました。,里芋の一種で、小芋はわん曲しており、大型です。,「京都市特産そ菜保存ほ」として京都市が種子の保存を伏見区竹田地区の農家に委託しています。,11月中旬,2月中旬
K014,辛味だいこん,からみだいこん,100,40,42,35,20,33,辛味レーザー,子供が泣く辛さ！,味方にバフ,MB,超刺激,刺激的なパッション！,味方の素早さアップ！,パッシブ,PS,紫式部,紫色の美しき大根の幻惑！,2ターンの間、敵全体の防御力・特防-15,ゴールド青,〇,－,－,－,京都市産業観光局農林振興室,旧名「原谷大根」と呼ばれており、京都市北区大北山（原谷）の原産で、元禄、宝永の頃（1688年以降）から現在の北区鷹峯で栽培されるようになったとされています。,形状は、根部、茎葉とも一見小かぶらに似ていて、非常に小さく、直径は3～5cm位です。葉柄、中央の葉脈の基部は紫色をしており根部には強い辛味があります。,現在3戸の栽培があります。 原系統については「京都市特産そ菜保存ほ」として京都市が種子の保存を北区鷹峯地区の農家に委託しています。,11月上旬,3月下旬
K015,青味だいこん,あおみだいこん,80,77,44,32,28,9,大根レイピア,細身の刀身で一突き！,特殊攻撃,SA,ブーメラン,くの字に曲がる伝統！,,アクティブ,AS,さわやかな風,細身でさわやかなイケメン！,味方全体の防御力・特防常に+10,ゴールド青,〇,－,－,－,京都市産業観光局農林振興室,現在の中京区西ノ京（旧葛野郡朱雀野村）が原産とされていますが約150年前の文化・文政の頃（1804～1830）、現在の右京区西京極で栽培されていて今は絶滅した「郡だいこん」の変異種として作出されたようです。,尾部が1～2箇所で屈曲する中生系の大根で、茎葉は濃緑色、根身は長さ12～15cm、直径1～1.5cm、地表部が濃緑色で青味の多いものが良いものとされます。根部は断面も青く、冬場にきゅうりの代わりとして利用されたようです。,現在7戸の栽培があり、「京都市特産そ菜保存ほ」として京都市が種子の保存を下京区七条地区の農家に委託しています。,11月上旬,3月上旬
K016,茎だいこん,くきだいこん,110,63,25,41,24,7,だいこん殴り,ふくれた部分でぶん殴る！,敵にデバフ,EB,尻づまり,お尻のでかさで圧倒！,敵の攻撃力ダウン！,パッシブ,PS,中堂寺,三百年の伝統だいこん！,2ターンの間、敵一体の防御力-20,ゴールド青,〇,－,－,－,京都市産業観光局農林振興室,別名「中堂寺大根」ともよばれ、約300年前には京都で広く栽培されていた在来種であると考えられています。市内の各地で栽培されていたので南禅寺大根や、吉田大根など各々の地名でも呼ばれていたようです。左京区松ヶ崎は、この大根の栽培に適した気候・土質であったため、現在も栽培が続けられています。,茎葉は繊細な感じで淡緑色であり、葉柄は細く柔軟です。根部は純白色で根の先がやや太く、尻づまりしています。,現在3戸の栽培があり、「京都市特産そ菜保存ほ」として京都市が種子の保存を左京区松ヶ崎地区の農家に委託しています。,11月上旬,2月下旬
K017,桃山だいこん,ももやまだいこん,120,90,40,5,10,5,大根バット,重量を生かした体当たり！,特殊攻撃,SA,筋肉質,実が締まってるマッチョ大根！,,パッシブ,PS,伏見桃山城,秀吉の豪華絢爛な城！,3ターンの間、味方一体の防御力・特防+15,ゴールド青,〇,－,－,－,京都市産業観光局農林振興室,起源は明らかではありませんが、滋賀県にあった伊吹山大根を桃山の一部（大亀谷）に移して栽培したものと言われています。 この大根は根の先が細くねずみの尻尾の様であったことから、鼠大根とも呼ばれていました。文献から推察すると、300年前後の歴史を持っていると考えられています。しかし大亀谷大根と桃山大根は別のもので、桃山大根は従来京都で栽培されていた中堂寺系大根であるという説もあります。,根部は短くて根首と先端がほぼ同じ大きさで、直径6～8cm、長さ30cm内外、肉質が非常にしまっています。たくあんにしたときに品質が長い期間保持されることから、漬物として多く利用されていました。,現在1戸のみで栽培されており、「京都市特産そ菜保存ほ」として京都市が種子の保存を伏見区向島地区の農家に委託しています。,11月上旬,3月上旬
K018,松ヶ崎浮菜かぶ,まつがさきうきなかぶ,70,50,50,45,30,25,かぶりつき,鋭い歯のかぶりつき！,味方にバフ,MB,浮舟,宙に浮いて攻撃回避！,味方の素早さアップ！,アクティブ,AS,松ヶ崎大黒天,打ち出の小槌！,敵全体の攻撃力常に-10,ゴールド青,〇,－,－,－,京都市産業観光局農林振興室,古い記録はありませんが、奈良時代に僧がいずれかから伝えたとの説があります。また、近江かぶが京都に導入されて栽培される間に松ヶ崎浮菜かぶになったとも言われています。古くから左京区松ヶ崎に栽培された、地域固有のかぶの品種です。,葉は滑らかで欠刻が深く、みず菜の変り品種のようで、地下部が肥大する頃からかぶの上部から茎葉が増える、葉数の多い特殊なかぶです。,現在1戸のみで栽培されており、「京都市特産そ菜保存ほ」として京都市が種子の保存を北区上賀茂地区の農家に委託しています。,11月上旬,3月下旬
K019,うぐいす菜,うぐいすな,80,68,38,60,10,14,なっぱビンタ,葉っぱでひっぱたく！,味方にバフ,MB,うぐいすの鳴く頃,春のウキウキ感があふれる！,味方の攻撃力アップ！,パッシブ,PS,貴族の誇り,身分の高い人しか食べられない高級野菜！,3ターンの間、味方一体のパラメータ+10 ,ゴールド青,〇,－,－,－,京都市産業観光局農林振興室,江戸時代の中期に、現在の中京区神泉苑町の農家が天王寺かぶの早生種作出のために選抜淘汰してできたとされ、早春の菜としてうぐいすの鳴く頃に収穫されることから呼ばれたとも言われています。 江戸時代には公卿、大宮人等の専用料理に愛用されて、高級そ菜として栽培されてきました。,早生小かぶに属し、葉は光沢のある壬生菜のような形で、根は純白色のやや偏円形で、は種後40～50日で親指大で収穫します。,現在1戸のみで栽培されており、「京都市特産そ菜保存ほ」として京都市が種子の保存を下京区七条地区の農家に委託しています。,12月下旬,2月下旬
K020,すぐき菜,すぐきな,100,49,41,39,30,11,すぐきダブルアタック,なっぱでビンタ、かぶパンチ！,敵にデバフ,EB,漬物石,重い石を敵に乗せる！,敵の素早さダウン！,パッシブ,PS,乳酸菌発酵,お腹に良い乳酸菌がいっぱい！,3ターンの間、この野菜のパラメータを+15,ゴールド青,〇,－,－,－,京都市産業観光局農林振興室,古くから北区上賀茂に伝承するもので、起源は定かではなく約300年前と推察されています。地域的に限られた状況で栽培されたため栽培についての文献は無く、地元住民の口伝えによるのみです。 栽培起源の有力な説は2説ありますが、ふたつとも栽培創始者が賀茂別雷神社(上賀茂神社)の社家某であることが共通していることから、神社との密接な関連性があると思われます。,根は円錐状であり、葉は濃緑色で、葉、根部とも大別して各々三つの系統群があります。すぐき漬けはその独特の酸味が特徴ですが、これは乳酸醗酵によるもので天秤を利用した漬け込みと、むろ室での醗酵を組み合わせた独自の手法によって作り出されます。,現在北区上賀茂・大宮の農家約100戸が栽培しています。,9月中旬,11月下旬
K021,もぎなす,もぎなす,60,40,30,80,30,30,なす乱れ打ち,集団での一斉アタック！,敵にデバフ,EB,チクチク,へたのチクチクでイラつかせろ！,敵の攻撃力ダウン！,アクティブ,AS,からし漬け,もぎなすの定番、からし漬け！,味方全体の攻撃力常に+10,ゴールド青,〇,－,－,－,京都市産業観光局農林振興室,天保年間に油引きの障子を利用した育苗法が開発され、現在の左京区聖護院では苗の栽培や、なすの促成栽培が盛んに行われていました。そのような環境の中で慶応、明治初年頃、在来なすの中に早生で草丈の低い系統が出現。促成栽培用品種として栽培されるようになりもぎなすが生まれたようです。,極早生系で草丈が低く、横枝が良く張り、結果数も多く、葉は小さくて茎も細く、果実は紫黒色。普通の千両なすの幼少果実のへた周辺が着色していないのに対し、もぎなすは、へたの際まで着色しているのが特徴です。,現在2戸の栽培があり、「京都市特産そ菜保存ほ」として京都市が種子の保存を左京区一乗寺地区の農家に委託しています。,6月上旬,9月下旬
K022,田中とうがらし,たなかとうがらし,70,100,30,40,15,15,ライオンキング,獅子の噛みつき攻撃！,敵にデバフ,EB,獅子の咆哮,元祖ししとう。王者の咆哮！,敵の攻撃力ダウン！,パッシブ,PS,ねこじゃらし,獅子もネコ科！,3ターンの間、敵全体の素早さ-10,ゴールド青,〇,－,－,－,京都市産業観光局農林振興室,起源は明らかではありませんが、明治初年に左京区田中地区の農家が滋賀県から種子を持ち帰って栽培を始めたと伝えられています。田中地区一帯で栽培されていたので、この名前をつけ販売されていました。やがて田中地区の都市化に伴い、左京区一乗寺から山科区へと広まったといわれています。,果は太くて短く、小型で果の先端がつまり、獅子の頭の形状になっているので「ししとうがらし」とも言われます。種が少なく、色は濃緑色で辛味はありません。,本来の形質のものを栽培している農家はわずかですが、改良種は全国で栽培されています。「京都市特産そ菜保存ほ」として京都市が種子の保存を北区上賀茂地区の農家に委託しています。,6月上旬,9月下旬
K023,桂うり,かつらうり,130,30,48,26,28,8,うりボンバー,巨体を生かした体当たり！,味方にバフ,MB,完熟芳香,完熟すると甘い香り漂う！,味方の防御力アップ！,パッシブ,PS,奈良漬け,京野菜なのに奈良漬けとはいかに！,3ターンの間、敵全体の攻撃力・特攻-10、防御力・特防+10,ゴールド青,〇,－,－,－,京都市産業観光局農林振興室,起源について詳しいことは不明ですが、越うりの一種で、大越うりを栽培している中から品質の優れた特に大型のものを選抜して栽培していたと言われています。 また、元和3年（1617）には智仁親王が川遊びやうり見に現在の西京区桂に訪れたと文献にあり、それ以前から栽培されていたと考えられています。,果皮は緑白色で果肉は厚く、頭部、尻部とも太くて肉質は厚く、ち密で甘味と芳香に富みます。漬物にしても形がくずれにくいことから、未熟果が奈良漬の原料として利用されてきました。近年、完熟果の機能性が発見され、製菓原料等としての利用も検討されています。,「京都市特産そ菜保存ほ」として京都市が種子の保存を西京区上桂地区の農家に委託しています。,6月中旬,8月中旬
K024,柊野ささげ,ひらぎのささげ,80,95,20,25,15,35,ささげウイップ,ムチのような体でしばきたおす！,特殊攻撃,SA,巻きつき,長すぎるボディの巻きつき！,,アクティブ,AS,ロングライダー,長さそれは美しさ！,味方全体の特防常に+10,ゴールド青,〇,－,－,－,京都市産業観光局農林振興室,現在の北区上賀茂柊野地域特有の作物で、栽培の起源等は文献がなく不明ですが、300年くらい前から栽培されていると考えられています。昔からお盆には必ず仏前に供えたという記録もあり、明治維新以降も多く栽培されていましたが短系のささげが広く栽培されるようになったことから、激減しました。,他のささげより長く、80～90cmになるので、三尺ささげとも言います。葉は濃緑色で葉形はやや長く、毛じ（細かい毛）がありません。,現在1戸のみで栽培されており、「京都市特産そ菜保存ほ」として京都市が種子の保存を北区上賀茂地区の農家に委託しています。,6月上旬,9月下旬
K025,畑菜,はたけな,80,66,41,35,28,20,ひっぱたき菜,身も心も痛い一撃！,特殊攻撃,SA,畑菜からし和え,子供は泣いちゃう刺激！,,パッシブ,PS,菜種油,昔は油をとるために栽培されていたのだ！,次の1ターンの間、敵全体の素早さ+10、防御力・特防-20,ゴールド青,〇,－,－,－,京都市産業観光局農林振興室,起源は明らかではありませんが、菜種油用のものが野菜の少ない早春に若菜として利用され、それが改良されてできたのではないかと言われています。,草姿は菜種に類似しますが、葉、柄共に欠刻が大きいことが特徴です。京都では初午の日に食べる伝統があります。,伏見区久我地域で多く生産され、「久我菜」とも呼ばれています。市内各地において昭和30年代までは広く栽培されていましたが現在では減少しています。,11月上旬,3月下旬
K026,京せり,きょうせり,80,36,49,55,30,20,シャッキリアロー,シャキっとした歯ごたえ！,特殊攻撃,SA,セリきざみ,細かくきざんで薬味に最高！,,パッシブ,PS,爽やかな香り,上品な芳香で鋭気を養え！,2ターンの間、味方一体の攻撃力・特攻・素早さ+30、防御力・特防-50,ゴールド青,〇,－,－,－,京都市産業観光局農林振興室,"承和5年（838）の文献にせりの栽培が記載されていることからねぎの栽培とともに古く,湧水の多い低湿地の利用として多く栽培されたようです。現在のような湧水栽培が行われたのは約300年前と言われています。",葉の形からとがったものを柳葉、丸味を帯びたものを丸葉と呼んでいます。さらに色や香り、栽培地域によって、京せり、青ぜり、お多福ぜり、山科ぜりに区別されています。,現在下京区西七条、南区久世で栽培されています。,11月中旬,3月上旬
K027,京うど,きょううど,100,56,5,46,30,33,うどスラッシャー,香り高く歯切れよし！,敵にデバフ,EB,うどの大木,でかくなったら食べられない！,敵の防御力ダウン！,アクティブ,AS,独活,止まっているのに動く幻を見せる！,味方全体のパラメータ常に+5,ゴールド青,〇,－,－,－,京都市産業観光局農林振興室,江戸時代に現在の伏見区桃山の城下において、地元の農民の知恵と工夫によって生まれた栽培で、在来種が栽培されています。,根株をまんじゅう型に土盛りし軟化するため、茎は白く上がりますが、太短く、室栽培のようにスマートではありません。,伏見区桃山において2戸の栽培があります。,4月上旬,5月下旬
K028,京みょうが,きょうみょうが,80,85,45,30,16,14,ロングみょうがスピア,長ーいボディで串刺し！,敵にデバフ,EB,紅美人,スリムな紅色ボディに見とれろ！,敵の素早さダウン！,パッシブ,PS,誇り高き香り,良い香りで癒されろ！,味方一体のHP+50,ゴールド青,〇,－,－,－,京都市産業観光局農林振興室,江戸時代の終期、現在の伏見区桃山の農民、平兵衛が地下水の湧き出ている傍らに軟白している茗荷を見つけ、これをヒントに地元の豊富な湧水を利用して軟化栽培することを考案したのが始まりとされています。,みょうがの芽の長さ30cm、太さ1～1.5cmくらいのものが出荷されています。茎の色は黄色地に紅を帯びた色で、香りが良いのが特徴です。,伏見区桃山から栽培技術の伝承を受けるため左京区大原で栽培を進めています。,4月上旬,5月下旬
K029,万願寺 甘とう,まんがんじあまとう,90,80,40,40,10,10,とうがらしドリル,尖った先で攻撃する！,味方にバフ,MB,甘い吐息,とうがらしと見せかけて実は甘い！,味方の攻撃力アップ！,パッシブ,PS,とうがらしの王様,これなら子供も怖くない！,3ターンの間、味方一体の攻撃力・特攻+10,シルバー,－,〇,－,－,公益社団法人京のふるさと産品協会,今からおよそ百年前の大正時代、京都府舞鶴市万願寺で生まれた万願寺とうがらしの原種は、地元の住民たちの間で「おいしい」と評判になるも栽培がとてもむずかしく、ごく限られた地域の農家で自家野菜として栽培されるのみでしたが、台木の発見による継木栽培や育種、独自の工夫を加えた土づくりや防除など、産地をあげての努力と熱意の結果、現在では夏の京野菜を代表する一品として全国に出荷されています。,大型で肉厚とはいえタネが少なく食べやすいです。果実はとても柔らかでジューシー、甘みにくわえて独特の風味が味の良さを醸し出します。,JA京都にのくに管内（舞鶴市・綾部市・福知山市）で栽培。,5月中旬,10月下旬
K030,鷹峯とうがらし,たかがみねとうがらし,80,50,45,50,25,20,ホークマウンテンペッパー,鷹のくちばしのような鋭い先で攻撃！,味方にバフ,MB,甘い誘惑,このとうがらしも甘いぜ！,味方の攻撃力アップ！,アクティブ,AS,とうがらしの女王,万願寺が王様なら鷹峯は女王！,味方全体の攻撃力常に＋５,シルバー,－,〇,－,－,京都市産業観光局農林振興室,起源は明らかではありませんが、とうがらし類の栽培の歴史の中で、交雑種が固定されたものと考えられています。鷹峯地区近辺で生産されるとうがらしです。,果は大型で、肩の張りは無く、色は濃緑色をしており辛味はありません。肉厚で皮が薄いことが特長です。,,6月上旬,9月下旬
